power,Day,Time_of_Day,Location,Date
-103.807,0,0,0,08/19/24
-98.0,0,1,0,08/19/24
-100.358,1,3,0,08/20/24
-104.525,1,0,0,08/20/24
-99.115,1,1,0,08/20/24
-102.355,1,2,0,08/20/24
-103.932,2,3,0,08/21/24
-101.392,2,1,0,08/21/24
-104.977,2,2,0,08/21/24
-102.541,3,0,0,08/22/24
-96.543,3,1,0,08/22/24
-103.558,3,2,0,08/22/24
-98.63,4,0,0,08/23/24
-99.509,4,1,0,08/23/24
-103.917,4,2,0,08/23/24
-103.826,5,3,0,08/24/24
-104.336,5,2,0,08/24/24
-104.505,6,3,0,08/25/24
-104.362,6,0,0,08/25/24
-104.75,6,1,0,08/25/24
-101.421,0,3,0,08/26/24
-100.146,0,0,0,08/26/24
-99.947,0,1,0,08/26/24
-104.555,0,2,0,08/26/24
-101.301,1,0,0,08/27/24
-101.208,1,1,0,08/27/24
-104.457,2,3,0,08/28/24
-98.501,2,0,0,08/28/24
-98.847,2,2,0,08/28/24
-103.165,3,3,0,08/29/24
-100.872,3,0,0,08/29/24
-104.404,3,1,0,08/29/24
-101.079,3,2,0,08/29/24
-100.131,4,3,0,08/30/24
-102.687,4,1,0,08/30/24
-101.442,4,2,0,08/30/24
-104.56,5,3,0,08/31/24
-104.21,5,0,0,08/31/24
-104.458,5,1,0,08/31/24
-104.883,6,3,0,09/01/24
-99.541,6,0,0,09/01/24
-104.931,6,1,0,09/01/24
-104.032,6,2,0,09/01/24
-104.09,0,3,0,09/02/24
-105.023,0,1,0,09/02/24
-101.552,0,2,0,09/02/24
-104.626,1,3,0,09/03/24
-98.791,1,0,0,09/03/24
-102.234,1,2,0,09/03/24
-102.392,2,3,0,09/04/24
-101.073,2,0,0,09/04/24
-101.509,2,1,0,09/04/24
-93.641,2,2,0,09/04/24
-99.917,3,0,0,09/05/24
-101.795,3,1,0,09/05/24
-101.95,3,2,0,09/05/24
-104.135,4,3,0,09/06/24
-99.503,4,0,0,09/06/24
-92.892,4,1,0,09/06/24
-104.015,5,3,0,09/07/24
-104.553,5,0,0,09/07/24
-101.708,5,1,0,09/07/24
-93.895,5,2,0,09/07/24
-103.887,6,3,0,09/08/24
-105.154,6,1,0,09/08/24
-100.225,6,2,0,09/08/24
-104.922,0,3,0,09/09/24
-99.025,0,0,0,09/09/24
-102.15,0,1,0,09/09/24
-103.74,1,3,0,09/10/24
-96.236,1,0,0,09/10/24
-97.452,1,1,0,09/10/24
-104.426,1,2,0,09/10/24
-104.639,2,3,0,09/11/24
-102.001,2,2,0,09/11/24
-102.151,3,0,0,09/12/24
-98.141,3,1,0,09/12/24
-104.269,3,2,0,09/12/24
-103.578,4,0,0,09/13/24
-100.843,4,1,0,09/13/24
-99.82,4,2,0,09/13/24
-104.059,5,3,0,09/14/24
-98.457,5,0,0,09/14/24
-104.791,5,2,0,09/14/24
-104.249,6,3,0,09/15/24
-104.921,6,1,0,09/15/24
-104.871,6,2,0,09/15/24
-104.425,0,0,0,09/16/24
-98.143,0,1,0,09/16/24
-101.365,0,2,0,09/16/24
-104.495,1,3,0,09/17/24
-101.689,1,0,0,09/17/24
-102.113,1,2,0,09/17/24
-99.933,2,3,0,09/18/24
-101.421,2,0,0,09/18/24
-100.69,2,1,0,09/18/24
-102.307,2,2,0,09/18/24
-104.082,3,0,0,09/19/24
-100.647,3,1,0,09/19/24
-93.569,3,2,0,09/19/24
-104.723,4,3,0,09/20/24
-103.214,4,0,0,09/20/24
-104.42,4,2,0,09/20/24
-104.904,5,3,0,09/21/24
-103.472,5,0,0,09/21/24
-98.138,5,1,0,09/21/24
-100.582,5,2,0,09/21/24
